id,title,author,genre,story,thumbnail_url,webtoon_url
0,티엔다비스 - 완벽한 구원을 위하여,삼공,로맨스,"“생긴 대로 버르장머리가 없으시네요!”

사랑스러운 성녀 후보, 이비 아리아테에게 어느 날 저주가 내렸다.
요컨대 모든 물음에 반드시 진실을 답하는 저주.
별안간 닥친 저주로 전도유망한 앞날과
잡힐 듯 가깝던 성녀 자리가 한없이 멀어지고 마는데.

그럼에도 이비는 반드시 성녀가 되어야 한다.

비밀이 가득한 세계,
티엔다비스의 완벽한 구원을 위하여!",https://image-comic.pstatic.net/webtoon/817757/thumbnail/thumbnail_IMAG21_b97ebbb9-6e92-4e8d-807a-504855e7d616.jpg,https://comic.naver.com/webtoon/list?titleId=817757
1,혼자 다 해 먹는 천재 암살자,스튜디오 시그마,판타지,"내가 쓴 소설에 들어왔다.
멸망이 예정된 결말을 바꾸기 위해
빌런 '신강후'가 되어 주인공보다 강해져야 한다!",https://image-comic.pstatic.net/webtoon/818862/thumbnail/thumbnail_IMAG21_ce547955-3515-4844-8444-98132a5147d3.jpg,https://comic.naver.com/webtoon/list?titleId=818862
2,복수 법률사무소,이석준,드라마,"법의 이름으로 모든 것을 빼앗긴 천재 소년. 
아버지를 살해한 악마 양다곤은 세계적인 전기차 회사인 라이트닝모터스와 어깨를 견주는 글로벌 자동차기업의 회장이 되어 있고... 
법으로 빼앗긴 것은 법으로 되찾는다! 
변호사가 된 윤해성은 수상한 인물들을 모으기 시작한다. 
직원 달랑 두 명의 법률사무소는 한국을 주무르는 거물 양다곤을 무너뜨릴 수 있을까?",https://image-comic.pstatic.net/webtoon/818334/thumbnail/thumbnail_IMAG21_fb7875f9-68b9-468c-b0db-02776ad56bd7.jpg,https://comic.naver.com/webtoon/list?titleId=818334
3,뷰티풀 군바리,설이,드라마,'여자도 군대에 간다면?'본격 여자도 군대 가는 만화!,https://image-comic.pstatic.net/webtoon/648419/thumbnail/thumbnail_IMAG21_d9398229-cbfd-47dc-9208-0a6fb936f3a7.jpg,https://comic.naver.com/webtoon/list?titleId=648419&tab=mon
4,백수세끼,치즈,드라마,"백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니?
음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!",https://image-comic.pstatic.net/webtoon/733074/thumbnail/thumbnail_IMAG21_80df3e76-47af-4007-b57c-e8f2830835e5.jpg,https://comic.naver.com/webtoon/list?titleId=733074&tab=mon
5,신의 탑,SIU,판타지,"자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년
그리고 그런 소년을 시험하는 탑",https://image-comic.pstatic.net/webtoon/183559/thumbnail/thumbnail_IMAG21_5f3fec31-5c95-4afe-a73f-3046288edb47.jpg,https://comic.naver.com/webtoon/list?titleId=183559&tab=mon
6,퀘스트지상주의,박태준 만화회사,드라마,"[외모지상주의], [싸움독학], [인생존망]과 세계관을 공유하는 작품!
공부, 싸움, 외모.
뭐 하나 잘난 것 없는 평범한 고등학생 ‘김수현’의 눈앞에 갑자기 퀘스트창이 나타났다!
첫 번째 퀘스트, [엄마한테 사과하기]를 완료한 수현은 보상으로 키가 3cm 커지게 되는데!
퀘스트 엄청 쉽잖아?! 어떤 퀘스트든 완료해주마! 그런데 다음 퀘스트가?
[system] 학교 일진녀와 키스하십시오",https://image-comic.pstatic.net/webtoon/783052/thumbnail/thumbnail_IMAG21_800f4c56-26ac-419e-9ed0-baf322311dea.jpg,https://comic.naver.com/webtoon/list?titleId=783052&tab=mon
7,윈드브레이커,조용석,스포츠,"혼자서 자전거를 즐겨타던 모범생 조자현.
원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데...
자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!",https://image-comic.pstatic.net/webtoon/602910/thumbnail/thumbnail_IMAG21_e861f2cf-6157-4d33-8e02-7b4cbf0a8baf.jpg,https://comic.naver.com/webtoon/list?titleId=602910&tab=mon
8,소녀의 세계,모랑지,드라마,"완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나
여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물",https://image-comic.pstatic.net/webtoon/654774/thumbnail/thumbnail_IMAG21_4048794550434817075.jpg,https://comic.naver.com/webtoon/list?titleId=654774&tab=mon
9,장씨세가 호위무사,김인호,무협/사극,"‘당신이 부른 것이오. 나란 사람을... ’
은둔고수 광휘. 호위무사 되다.
웹소설 원작 웰메이드 무협 시대극!",https://image-comic.pstatic.net/webtoon/728750/thumbnail/thumbnail_IMAG21_47c21251-b213-4882-bacc-15adce1acfc8.jpg,https://comic.naver.com/webtoon/list?titleId=728750&tab=mon
