id,title,author,genre,story,thumbnail_url,webtoon_url
0,열녀박씨 계약결혼뎐,안젤리크,로맨스,"혼례 첫날밤, 갑작스럽게 서방을 잃은 열녀 박연우. 
엎친 데 덮친 격으로 괴한에게 납치당해 우물에 던져졌지만, 눈을 뜬 곳은 21세기 대한민국…?! 
설상가상 연우를 구해준 서방님 판박이는 가짜 혼인을 하자고 한다! 
당찬 열녀 박씨 연우와 독신주의자 강태하의 동상이몽 계약 결혼.",https://image-comic.pstatic.net/webtoon/761601/thumbnail/thumbnail_IMAG21_f7b0c713-9fb3-4b84-a266-448aebffeb53.jpg,https://comic.naver.com/webtoon/list?titleId=761601
1,천재작가의 랜덤 작업실,펭스,개그,"어느 날 갑자기 생긴 글 쓰는 능력,
보조작가로 구르던 나 김진우에게도 스타작가의 길이 열렸다! 가즈아~~!
.
.
[시스템 : 제한 시간 내에 랜덤 배정된 장소에서만 글쓰기 능력이 실현됩니다^^!
장소 : 한라산/제한 시간 : 20시간]
""...네?""(김진우/서울시)",https://image-comic.pstatic.net/webtoon/818987/thumbnail/thumbnail_IMAG21_6c4fffa4-b7fa-4eca-9a12-95f1007ab479.jpg,https://comic.naver.com/webtoon/list?titleId=818987
2,남사친과 실수는 추천하지 않습니다,클레버,로맨스,"산부인과부터 시작해 고등학교까지 인생의 대부분을 함께한 그놈, 지서준.
지서준의 화려한 미모 덕에 단짝 친구인 나, 문다율까지 험난한 학창 시절을 보내고
다시는 엮이지 않으리라 다짐했다.
그런데... 술에 잔뜩 취한 후 눈을 떠보니 낯선 호텔방에, 옆자리엔 지서준이 누워있다!
우리의 29년 우정은 지켜질 수 있을까?",https://image-comic.pstatic.net/webtoon/819172/thumbnail/thumbnail_IMAG21_8ea9e2d2-cc65-4b74-8bde-ec307c8ca23d.jpg,https://comic.naver.com/webtoon/list?titleId=819172
3,정신병동에도 아침이 와요,이라하,감성,"[마음의 위로가 필요하신가요?]

실제 간호사의 경험을 바탕으로 한 힐링드라마 웹툰 <정신병동에도 아침이 와요>
간호사 '시나'가 이야기 하는 정신병동과 마음시린 우리들 이야기
당신은 어떤 마음의 상처가 있나요?",https://image-comic.pstatic.net/webtoon/816575/thumbnail/thumbnail_IMAG21_f2582a41-f759-48d7-b836-924ded628340.jpg,https://comic.naver.com/webtoon/list?titleId=816575&tab=dailyPlus
4,악마의 소원,지고지9,로맨스,"어느날 야릇한 꿈을 꾼 악마 서도야. 
바로 그 날 같은 학교 신입생 소원을 만나게 된다.
이상하게 소원과 스치기만 해도 마음과는 다르게 자꾸 몸이 반응하는 도야. 

한편 소원은 신입생 환영회에 참석했다가
연영과 인기 배우 ‘우재현’ 의 집에 초대를 받게 되는데...

 자꾸만 얽히는 서도야와 우재현 사이에서 
소원은 무탈한 학교 생활을 할 수 있을까?",https://image-comic.pstatic.net/webtoon/816685/thumbnail/thumbnail_IMAG21_11fbcafd-df48-48ab-8b3c-18c682fb1f6a.jpg,https://comic.naver.com/webtoon/list?titleId=816685&tab=dailyPlus
5,비서 말고 여자,박다연,로맨스,"“저랑 한 번만 자 주시면 안 돼요?”
3년을 보좌한 신태헌 본부장과 충동적인 하룻밤을 보내는 세인.
쿨하게 해외 지사로 떠나려 했건만, 그날 이후 그가 이상해졌다.
“나만 윤 비서가 신경 쓰이나?”
질척거리는 것으로도 모자라,
“윤세인을 갖고 싶어졌어.”
낯 뜨거운 말도 서슴지 않으며,
“내 거 해. 아니면 내가 윤세인 거 해도 좋고.”
당당함을 넘어 뻔뻔해졌다.
본부장님, 대체 저한테 왜 이러세요…….
원나잇이 불러온 대참사.
너무 잘나서 부담스러운 남자의 폭풍 대시가 시작된다.",https://image-comic.pstatic.net/webtoon/818358/thumbnail/thumbnail_IMAG21_fd04f78b-ef24-4884-bbca-446b27844b1e.jpg,https://comic.naver.com/webtoon/list?titleId=818358&tab=dailyPlus
6,화산파 역대급 천재,정확콘,무협/사극,"좋은 집안도, 내공도 없어 화산파에서 하산 될지도 모르는 삼대 제자 백운호.
그러던 어느 날 몽원경이라는 기연을 만나 화산파 역대급 천재로 거듭나는데,
백운호는 어디까지 강해질 것인가?!",https://image-comic.pstatic.net/webtoon/817301/thumbnail/thumbnail_IMAG21_af888d4f-1ee3-4c3f-96d0-f1f6f507f9e2.jpg,https://comic.naver.com/webtoon/list?titleId=817301&tab=dailyPlus
7,맞바람을 핀다는 건,청푸름,로맨스,"“어려서는 아버지인 내 말에, 결혼한 뒤에는 네 남편의 말에 순종하는 것. 그게 챈들러가의 장녀인 네가 해야 하는 일이란다.”


평생 순종적인 딸로 자라온 스칼렛.
아버지의 명령에 따라 헌팅턴 공작과 결혼하기 위해 수도로 올라간다.


하지만 약혼자에겐 이미 내연녀가 있었고, 스칼렛은 둘 사이를 감추기 위한 가림막으로 선택되었을 뿐.
결혼식 전날, 스칼렛은 남편이 내연녀를 달래며 자신에 대해 하는 말을 엿듣는다.


“그 여자는 그냥 임신을 위한 도구일 뿐이야.”


아버지가 이 모든 사실을 알면서도 남편에게 자신을 팔아넘겼다는 것을 알게 된 스칼렛. 
결혼식 전날 밤. 스칼렛은 웨딩드레스를 찢으며 다짐한다.


“시키는 대로 착하게 살면, 그 대가로 사랑을 받을 수 있다고 믿었다.
나는 더 이상 그런 거짓말에 속지 않을 것이다.”


남편에게서 벗어나 자유를 찾기 위해, 스칼렛은 긴 준비를 시작한다.
바람에는 맞바람으로 응수하고, 내게 접근하는 남자들을 이용해 남편에게 복수하리라!


그런데 어째 접근하는 남자들이….
미모의 기사, 황위계승권이 가장 높다는 황족, 남편의 절친한 친구까지…?!


복수와 자유, 스칼렛은 두 가지 열매를 모두 먹을 수 있을까?!",https://image-comic.pstatic.net/webtoon/813180/thumbnail/thumbnail_IMAG21_8df0754f-dc0a-4f4c-b4f7-40292766c23f.jpg,https://comic.naver.com/webtoon/list?titleId=813180&tab=dailyPlus
8,악역을 길들인 줄 알았는데,박신,로맨스,"피폐물 속 악역과 같은 보육원 출신이라는 이유만으로 그의 손에 죽을 운명에 처했다!
아직 어린 그의 소꿉친구를 자처해 어떻게든 갱생에 성공한 줄 알았는데…

“맞아, 그 살인귀가 나야. 그래도 너만은 날 싫어하지 않을 거지?""

10년 만에 다시 만난 그는 어째서인지 완벽한 악역이 되어 있었다.",https://image-comic.pstatic.net/webtoon/818146/thumbnail/thumbnail_IMAG21_d25dafe9-a95b-44fa-8c2e-4855bfcb8eac.jpg,https://comic.naver.com/webtoon/list?titleId=818146&tab=dailyPlus
9,선녀외전,효빈,로맨스,"나무꾼을 살해하고 인간계에 갇혀 연예인으로 살아가던 선녀 '천모란'은, 자신이 연루된 살인사건 담당 형사 '사제하'에게 정체를 들키고 만다.
한편 그와 가까워질수록 잃어버린 날개옷의 행방이 드러나는데...
날개옷을 되찾기 위한 21세기 선녀의 피 튀는 복수, 증오, 그리고 사랑 이야기.",https://image-comic.pstatic.net/webtoon/800850/thumbnail/thumbnail_IMAG21_623810a7-d18d-4768-b6a7-7af3bf316ba5.jpg,https://comic.naver.com/webtoon/list?titleId=800850&tab=dailyPlus
10,울부짖는 역린,조던,판타지,"악신의 저주를 받은 야만전사 아난타.
자신의 운명을 비극으로 뒤바꾼 날개의 화신을 처단하기 위해
끝없이 악신을 포식하며 복수를 갈망하는 피와 땀, 뼈와 살의 이야기.",https://image-comic.pstatic.net/webtoon/817925/thumbnail/thumbnail_IMAG21_10bf338b-defb-4083-a0fe-50c159d22246.jpg,https://comic.naver.com/webtoon/list?titleId=817925&tab=dailyPlus
11,만능사원 전설이 되다,BONGUN,판타지,"공사장에서 일하던 김태석에게 대기업 엘성의 서류전형 합격 통보가 날아온다.
그와 동시에 그의 앞에 떠오르는 메시지.

'정규사원의 길 튜토리얼에 접속하셨습니다.
튜토리얼을 진행하시겠습니까?'

전설의 만능사원이 되기 위한 김태석의 고군분투 회사 이야기!",https://image-comic.pstatic.net/webtoon/818785/thumbnail/thumbnail_IMAG21_0d12b84c-006f-4e4a-a17f-da207d1b6a28.jpg,https://comic.naver.com/webtoon/list?titleId=818785&tab=dailyPlus
12,독점쾌락,팀 새풍,로맨스,"""어떤 모습의 너라도 나만 갖고 싶다, 전부 다.""

어느 날 느닷없이 찾아온 불행. 양부모의 피살, 자신을 향한 끊임없는 살해 위협.
소중했던 모든 것을 잃은 유진은 오로지 도망쳐야 한다는 생각 뿐이었다. 
다행히도 어릴 적부터 가깝게 지낸 데릭의 도움으로 가까스로 목숨을 건진다.
그리고 그에게로부터 여자가 아닌 남자로서의 삶을 제안 받게 된다.
사랑하는 여자를 지키기 위해 남장을 제안한 남자. 죽지 않기 위해 남장을 선택해야만 했던 여자. 그 두 사람의 사랑은 어떻게 진행될까.",https://image-comic.pstatic.net/webtoon/816610/thumbnail/thumbnail_IMAG21_58a0e48b-3c64-4cd1-b791-e79449b12bd0.jpg,https://comic.naver.com/webtoon/list?titleId=816610&tab=dailyPlus
13,성황의 손자는 네크로맨서,스튜디오늘봄,판타지,"가상 게임 테스트 도중 사망한 주인공은 성황의 망나니 손자 ‘알렌 올폴스’의 몸에서 눈을 뜬다.
게임 속 직업, 네크로맨서의 능력을 그대로 가진 채!

“내가 말이지, 1회차 인생은 아주 살짝 번잡했지만 2회차 인생은 조용히 누리고 싶은 바람이 있거든.”

네크로맨서가 대역 죄인인 이 세계에서 과연 그의 희망대로 살아갈 수 있을까?",https://image-comic.pstatic.net/webtoon/817923/thumbnail/thumbnail_IMAG21_11726f47-cb23-42da-af9b-5370e810b876.jpg,https://comic.naver.com/webtoon/list?titleId=817923&tab=dailyPlus
14,축구재능 다 내꺼,amber,스포츠,"축구선수의 꿈을 꿨던 우호영. 하지만 신은 그에게 재능을 주지 않았고 꿈을 이루지 못한 채 벼락에 맞아 사망한다. 
그때 악마 마몬이 나타나 모두의 재능을 탐할 수 있는 능력을 선물하는데…",https://image-comic.pstatic.net/webtoon/818049/thumbnail/thumbnail_IMAG21_581855c2-80eb-4d45-a97a-1c22c548f439.jpg,https://comic.naver.com/webtoon/list?titleId=818049&tab=dailyPlus
